sentence_text,sentence_start,file_id,KAYCEE,KAYCEE_annotation,KATHLEEN,KATHLEEN_annotation,LIZ,LIZ_annotation
"Tests have been performed for cystic fibrosis and, if appropriate, for hemoglobinopathies",2898,784359,,,,,,
and Tay Sach s disease.,2988,784359,,,,,,
"Nonetheless, congenital anomalies or birth defects can occur in children born after artificial insemination; the frequency is similar to the general population.",3013,784359,,,,,,
"The University of Rochester, its employees, representatives, agents and affiliated physicians, Rochester Regional Cryobank and Andrology Laboratory, and the donors assume no responsibility for the physical and mental characteristics of any child or children born as a result of artificial insemination.",3175,784359,,,,,,
We will notify the cryobank of the outcome of each insemination and the outcome of pregnancy resulting from each donor insemination.,3479,784359,['B'],We will notify the cryobank of the outcome of each insemination and the outcome of pregnancy resulting from each donor insemination.,,,,
"We hereby release Rochester Regional Cryobank and Andrology Laboratory, the University of Rochester, its employees, representatives, agents, affiliated physicians and the donors from any liability which may arise from the collection and processing of semen.",3615,784359,,,,,,
The insemination will be performed by placing the thawed semen solution within the uterus (intrauterine insemination or IUI).,3873,784359,,,,,,
"The inseminate solution contains motile sperm in a buffer solution (Human Tubal Fluid or HTF) which contains gentimycin (non-penicillin antibiotic), a protein supplement (Human Serum Albumin or HSA) and glycerin (a cryoprotectant).",4000,784359,,,,,,
"The risks of the insemination include cramping, spotting, vaginal or pelvic irritation, inflammation or infection, and allergy to materials used to preserve or prepare the sperm.",4232,784359,,,,,,
"The alternatives to insemination include no treatment, other infertility treatments or adoption.",4411,784359,,,,,,
We may decline the insemination at any time without jeopardizing future medical care.,4508,784359,,,,,,
We have read this form and understand its contents.,4595,784359,,,,,,
We acknowledge that we have had an opportunity to ask questions and those questions have been answered to my satisfaction.,4648,784359,,,,,,
"Partners need not be married to each other, but female partner may not be legally married (even if separated) to someone other than the male partner who signs below.",4772,784359,,,,,,
We state that,4939,784359,,,,,,
_,4953,784359,,,,,,
_,4954,784359,,,,,,
_,4955,784359,,,,,,
_,4956,784359,,,,,,
"_________________________________ (female partner) is not legally married to anyone 
other than the male partner who signs below.",4957,784359,,,,,,
"Recipient signature 
Recipient name (printed) 
Husband signature 
 Husband name (printed)",5088,784359,,,,,,
"Witness 
 Witness name (printed)",5217,784359,,,,,,
_,5267,784359,,,,,,
_,5268,784359,,,,,,
_,5269,784359,,,,,,
_,5270,784359,,,,,,
_______________,5271,784359,,,,,,
"_ Date 
Date 
Date",5286,784359,,,,,,
Rev. 10/11/06,5316,784359,,,,,,
.,0,35262426,,,,,,
"Menu 
Average ER",2,35262426,,,,,,
Wait,19,35262426,,,,,,
Time View,24,35262426,,,,,,
"All as of 2:16pm EST today 

St Lucie Medical Center Get Directions
mins 
Age 13-17 Proxy Template 

Proxy for Minor Patient 13-17 Years of Age Express Waiver and Consent Instructions",34,35262426,,,,,,
The caregiver feature of MyHealthOne permits patients to grant access to their own MyHealthOne account so that others can view their health information.,219,35262426,,,,,,
Caregivers should be trusted individuals and will be legally designated to access the patient s health information.,372,35262426,,,,,,
"To request caregiver permissions for a family member or loved one through MyHealthOne, or, permit someone else to have caregiver permissions for your MyHealthOne account, take the attached form to the hospital that the patient most recently visited.",489,35262426,,,,,,
"You will be required to complete and sign the form in the presence of a hospital representative at the patient registration, health information management, or medical records oce.",739,35262426,,,,,,
"If the patient is unable to sign the Waiver and Consent form, the patient ",920,35262426,,,,,,
s,994,35262426,,,,,,
Power of Attorney may sign on behalf of the patient.,996,35262426,,,,,,
"The Power of Attorney must present documentation and state-issued photo identie to sign the Waiver and Consent form but no Power of Attorney exists for the patient, then the caregiver or proxy enrollment cannot occur.",1049,35262426,,,,,,
Please take the Proxy for Minor Patient 0-12 Years of Age Express Waiver and Consent to the hospital the minor patient most recently visited.,1269,35262426,,,,,,
"A parent or legal guardian must present photo identir or proxy, the Proxy for Minor Patient 0-12 Years of Age Express Waiver and Consent must be signed by the parent or legal guardian at the hospital",1411,35262426,,,,,,
 s registration desk.,1610,35262426,,,,,,
Select a trusted individual as your caregiver.,1634,35262426,,,,,,
Please take the Proxy for Minor Patient 13-17 Years of Age Express Waiver and Consent to the hospital you most recently visited.,1681,35262426,,,,,,
"A parent or legal guardian and the minor patient must both sign the Proxy for Minor Patient 13-17 Years of Age Express Waiver and Consent and present photo identis 
.",1810,35262426,,,,,,
Menuregistration desk.,1977,35262426,,,,,,
Please take the Proxy for Adult Patient Express Waiver and Consent to the hospital you most recently visited.,2002,35262426,,,,,,
You will,2112,35262426,,,,,,
"All caregivers must be at least 18 years old, have an active email address, and present state-issued photo identio the patient",2123,35262426,,,,,,
 s most recent hospital.,2249,35262426,,,,,,
"When the hospital has processed the form, please call the MyHealthOne
 support team at 1-855-422-6625 to complete the caregiver enrollment process.",2275,35262426,,,,,,
"As a hospital employee, if you have questions about this form, please call the MyHealthOne hospital Portal Support team.",2425,35262426,,,,,,
"This form is also available on Atlas Connect. 
.",2546,35262426,,,,,,
"Menu 


Proxy for Minor Patient 13-17 Years of Age Express Waiver and Consent 
The undersigned patient (""Patient"")",2595,35262426,,,,,,
"hereby grants to the undersigned parent or legal guardian of Patient (""Parent""), and Parent hereby requests to be granted, proxy access to Patient s health and other information (""Patient Information"") and understand that by doing so Patient waives all rights related to privacy and conh Parent (including, without limitation, the privacy practices of St Lucie Medical Center).",2710,35262426,,,['A'],"The undersigned patient (""Patient"") hereby grants to the undersigned parent or legal guardian of Patient (""Parent""), and Parent hereby requests to be granted, proxy access to Patient s health and other information (""Patient Information"") and understand that by doing so Patient waives all rights related to privacy and conh Parent (including, without limitation, the privacy practices of St Lucie Medical Center).",,
Patient represents and warrants that he or she is a minor with the ability to enter into agreements relating to the consent to access and waiver of rights involving highly sensitive medical data.,3088,35262426,,,['C'],Patient represents and warrants that he or she is a minor with the ability to enter into agreements relating to the consent to access and waiver of rights involving highly sensitive medical data.,,
Parent represents and warrants that he or she is the parent or legal guardian of the minor patient with the ability to enter into agreements relating to the consent to access and waiver of rights involving Patient s medical data.,3284,35262426,,,['C'],Parent represents and warrants that he or she is the parent or legal guardian of the minor patient with the ability to enter into agreements relating to the consent to access and waiver of rights involving Patient s medical data.,,
Patient and Parent further understand and acknowledge that (a) St Lucie Medical Center can rely on this waiver and consent until revoked by either Patient or Parent in writing; (b) by providing this waiver and consent Parent has no fewer rights to access Patient Information than Patient has; and (c) Patient and Parent waive all rights and remedies relating to Parent s use or misuse of Patient Information that St Lucie Medical Center provides Parent pursuant to this Express Waiver and Consent.,3514,35262426,,,,,,
"Please note that if this waiver and consent is revoked, such revocation will not aect any action taken in reliance on this waiver and consent prior to such revocation.",4012,35262426,,,,,,
"If either Patient or Parent wants to revoke this Proxy Express Waiver and Consent, he or she must call Patient Portal Support at 1-855-422-6625.",4180,35262426,,,,,,
"Patient Information 
Patient Name (Print): 
Patient Medical Record Number: 
Patient Account Number: 
Patient/Authorized Patient Representative Signature: 
Date of Consent: 
Proxy Information 
Proxy Name (Print): 
Proxy Email Address: 
.",4326,35262426,,,,,,
"Menu 
/ 

St Lucie Medical Center 1800 SE Tiany",4563,35262426,,,,,,
"Ave St Lucie, FL 34952",4611,35262426,,,,,,
"Telephone: (772) 335-4000 


. 
...",4635,35262426,,,,,,
"Copyright 1999-2019 C-HCA, Inc.;",4673,35262426,,,,,,
All rights reserved.,4706,35262426,,,,,,
"Terms & Conditions 
| Privacy Policy",4727,35262426,,,,,,
| Social Media Policy,4765,35262426,,,,,,
|,4788,35262426,,,,,,
Acceptable Use Policy,4790,35262426,,,,,,
HCA Nondiscrimination Notice,4813,35262426,,,,,,
| Accessibility,4843,35262426,,,,,,
"| Responsible Disclosure 


/",4860,35262426,,,,,,
"DISCLOSURE AND CONSENT ANESTHESIA and/or PERIOPERATIVE PAIN MANAGEMENT (ANALGESIA) 
TO THE PATIENT: You have the right, as a patient, to be informed about your condition and the recommended anesthesia/analgesia to be used so that you may make the decision whether or not to receive the anesthesia/analgesia after knowing the risks and hazards involved.",0,46217133,,,,,,
This disclosure is not meant to scare or alarm you; it is simply an effort to make you better informed so you may give or withhold your consent to the anesthesia/analgesia.,355,46217133,,,,,,
I voluntarily request that anesthesia and/or perioperative pain management care (analgesia) as indicated below be administered to me (the patient).,529,46217133,['A'],I voluntarily request that anesthesia and/or perioperative pain management care (analgesia) as indicated below be administered to me (the patient).,['A'],I voluntarily request that anesthesia and/or perioperative pain management care (analgesia) as indicated below be administered to me (the patient).,['A'],I voluntarily request that anesthesia and/or perioperative pain management care (analgesia) as indicated below be administered to me (the patient).
"I understand it will be administered by an anesthesia provider and/or the operating practitioner, and such other health care providers as necessary.",677,46217133,,,['C'],"I understand it will be administered by an anesthesia provider and/or the operating practitioner, and such other health care providers as necessary.",['C'],"I understand it will be administered by an anesthesia provider and/or the operating practitioner, and such other health care providers as necessary."
"Perioperative means the period shortly before, during and shortly after the procedure.",826,46217133,,,,,,
I understand that anesthesia/analgesia involves additional risks and hazards,914,46217133,['A'],I understand that anesthesia/analgesia involves additional risks and hazards but I request the use of anesthetics/ analgesia for the relief and protection from pain during the planned and additional procedures.,,,,
but I request the use of anesthetics/ analgesia for the relief and protection from pain during the planned and additional procedures.,991,46217133,,,,,,
I realize the type of anesthesia/analgesia may have to be changed possibly without explanation to me.,1125,46217133,['C'],I realize the type of anesthesia/analgesia may have to be changed possibly without explanation to me.,,,,
"I understand that serious, but rare, complications can occur with all anesthetic/analgesic methods.",1228,46217133,,,,,,
"Some of these risks are breathing and heart problems, drug reactions, nerve damage, cardiac arrest, brain damage, paralysis, or death.",1328,46217133,,,,,,
I also understand that other complications may occur.,1464,46217133,,,,,,
"Those complications include but are not limited to: 


GENERAL ANESTHESIA injury to vocal cords, teeth, lips, eyes; awareness during the procedure; memory dysfunction/memory loss; permanent organ damage; brain damage.",1518,46217133,,,,,,
REGIONAL BLOCK ANESTHESIA/ANALGESIA nerve damage; persistent pain; bleeding/hematoma; infection; medical necessity to convert to general anesthesia; brain damage.,1739,46217133,,,,,,
SPINAL ANESTHESIA/ANALGESIA nerve damage; persistent back pain; headache; infection; bleeding/epidural hematoma; chronic pain; medical necessity to convert to general anesthesia; brain damage.,1905,46217133,,,,,,
"EPIDURAL ANESTHESIA/ANALGESIA nerve damage; persistent back pain; headache; infection; bleeding/ epidural hematoma; chronic pain; medical necessity to convert to general anesthesia; brain damage. 
MONITORED ANESTHESIA CARE (MAC) or SEDATION/ANALGESIA memory dysfunction/memory loss; medical necessity to convert to general anesthesia; permanent organ damage; brain damage.",2101,46217133,,,,,,
Additional comments/risks:,2479,46217133,,,,,,
I understand that no promises have been made to me as to the result of anesthesia/analgesia methods.,2507,46217133,,,,,,
"I have been given an opportunity to ask questions about my anesthesia/analgesia methods, the procedures to be used, the risks and hazards involved, and alternative forms of anesthesia/analgesia.",2609,46217133,,,,,,
I believe that I have sufficient information to give this informed consent.,2804,46217133,,,,,,
"This form has been fully explained to me, I have read it or have had it read to me, the blank spaces have been filled in, and I understand its contents.",2881,46217133,,,,,,
PATIENT/OTHER LEGALLY RESPONSIBLE PERSON SIGNATURE DATE,3040,46217133,,,,,,
WITNESS SIGNATURE TIME,3099,46217133,,,,,,
12201,3125,46217133,,,,,,
"Renfert Way, Suite 120 ",3131,46217133,,,,,,
"Austin, Texas 78758",3156,46217133,,,,,,
NAS-047 (07/12),3176,46217133,,,,,,
Tel.,3192,46217133,,,,,,
512.,3197,46217133,,,,,,
832.9088,3202,46217133,,,,,,
Fax.,3211,46217133,,,,,,
512.833.6137,3216,46217133,,,,,,
"Anonymous Donor Sperm 
Information and Consent",0,23099502,,,,,,
You are considering using anonymous donor sperm for either an insemination or in vitro fertilization procedure.,50,23099502,,,['C'],You are considering using anonymous donor sperm for either an insemination or in vitro fertilization procedure.,,
Donor sperm has been utilized for many years for the treatment of male factor infertility or in the absence of a fertile male partner.,163,23099502,,,['C'],Donor sperm has been utilized for many years for the treatment of male factor infertility or in the absence of a fertile male partner.,,
Donor sperm may be used in cycles that are natural or stimulated to produce egg growth.,299,23099502,,,['C'],Donor sperm may be used in cycles that are natural or stimulated to produce egg growth.,,
Donor insemination is usually performed in a medical setting with semen acquired from a licensed sperm bank by a physician or other medical professional.,390,23099502,,,,,,
Donor sperm may also be used with in vitro fertilization where eggs will be inseminated in a dish with donor sperm or with ICSI (intracellular sperm injection) and some of the resulting embryos will be transferred to your womb.,544,23099502,,,,,,
"Prior to using donor sperm, you will undergo screening that includes psychological counseling, a cavity evaluation, medical history and physical examination, ultrasound, and blood tests.",773,23099502,,,,,,
"If the results of all of the screening tests are acceptable, you will be able to pursue treatment with donor sperm.",961,23099502,,,,,,
"In addition to this Donor Sperm Consent form, you will be required to review the informed consent forms for the specific procedure for which you are using the donor sperm.",1082,23099502,,,,,,
Special Considerations,1255,23099502,,,,,,
"Until the 1980s, donor insemination was usually performed using fresh semen.",1280,23099502,,,,,,
"Today, because of concerns of possible transmission of infectious diseases like HIV, donor insemination is performed using frozen donor sperm.",1357,23099502,,,,,,
These specimens are quarantined for at least 6 months before the specimens can be used.,1500,23099502,,,,,,
The 6-month quarantine allows time for careful screening of the donor.,1588,23099502,,,,,,
The long term psychological risks to a woman using sperm from an anonymous donor are thought to be minimal.,1663,23099502,,,,,,
"Although the donor does not know who receives the sperm, and you do not know the identity of the donor, today technology exists that allows for you to trace the identity of the donor and for the donor to trace the identity of their offspring using DNA.",1772,23099502,,,,,,
"You have decided to use donor sperm after being informed of other available therapies for infertility, and including adoption.",2026,23099502,,,,,,
You understand that there is no guarantee that pregnancy will occur.,2155,23099502,,,,,,
"If pregnancy results, there is no guarantee that it will proceed to term.",2225,23099502,,,,,,
"Donor Screening 
You will be notified of relevant portions of the donor s medical record.",2300,23099502,,,,,,
This is important for your decision in choosing a donor and may also be important to the medical treatment of any child born as a result of the donation.,2391,23099502,,,,,,
Most of the information in the donor ,2546,23099502,,,,,,
s,2583,23099502,,,,,,
"medical record is obtained by questioning of the donor, rather than by performing diagnostic tests, and the validity of the 
 
information may not be independently confirmed.",2585,23099502,,,,,,
Donors are screened for infectious diseases.,2762,23099502,,,,,,
Some Donors will have DNA testing completed.,2807,23099502,,,,,,
"If you choose a donor that positive results for genetic traits, please discuss these results with your provider BEFORE the insemination process.",2853,23099502,,,,,,
Most patients obtain donor sperm from commercial Sperm Banks.,2999,23099502,,,,,,
After you have completed your selection you will need to purchase the samples directly from the sperm bank and arrange to have them shipped to Strong Fertility Center.,3062,23099502,,,,,,
"Recipient Screening 
You will need to have a consultation with an approved psychological counselor to discuss issues specific to the use of donor sperm.",3233,23099502,,,,,,
"The purpose of the counselor visit is to screen for issues that may arise during the therapy, both successful and otherwise.",3387,23099502,,,,,,
An important part of the process is the protection of offspring which may result from the therapy.,3513,23099502,,,,,,
The recipient agrees that in rare instance the evaluation from the counselor results in not recommending treatment.,3613,23099502,,,,,,
"The physician team is not held liable for the acceptance of the recommendation, which again, is felt to be in the best interest of a child.",3730,23099502,,,,,,
You will need to have testing prior to initiating treatment with donor sperm in order to ensure your safety during the treatment and anticipated pregnancy.,3871,23099502,,,,,,
Some of these tests will look for infections that could endanger a pregnancy.,4028,23099502,,,,,,
"You will be tested for sexually transmitted diseases, hepatitis, and HIV (the virus that causes AIDS).",4107,23099502,,,,,,
"If evidence of any type of infection is found, the results will be discussed with you and, if needed, you will be referred for treatment.",4211,23099502,,,,,,
"In addition to infectious disease screening, other tests may be required that would be recommended for any woman anticipating pregnancy or infertility treatments.",4350,23099502,,,,,,
"These tests include blood typing and Rh status, and rubella titer.",4516,23099502,,,,,,
We require all of these screening procedures before your first cycle of treatment.,4584,23099502,,,,,,
"For subsequent cycles, you may need to repeat a few of these tests.",4668,23099502,,,,,,
If more than a year has gone by since your first cycle we may require you to repeat your screening tests.,4737,23099502,,,,,,
Confidentiality,4845,23099502,,,,,,
"Except as required by law, all information about you obtained during this treatment will be handled confidentially and neither your identity nor your specific medical or psychological details will be revealed by our staff.",4862,23099502,,,,,,
"Your names and address will be kept on file, and this, or any other information which would directly or indirectly identify you will not be disclosed or released to any person or entity without your written informed consent, except as authorized by law.",5086,23099502,,,,,,
"Reproductive tissue bank records shall be open to inspection in some jurisdictions, and shall be kept for at least as long as required by law.",5340,23099502,,,,,,
Any other use of information about your treatments or about you would require your specific consent.,5484,23099502,,,,,,
Specific medical details may be revealed in professional publications as long as your identity is concealed.,5585,23099502,,,,,,
"In some jurisdictions, the donor sperm recipient s",5696,23099502,,,,,,
records and cycle outcome are open to inspection by the State Department of Health.,5747,23099502,,,,,,
"The recipient s name and address and any other information which would directly or indirectly identify the recipient will not be disclosed or released by to any person or entity, except as required by law or court order.",5832,23099502,,,,,,
"In addition, any adverse outcomes, including infectious diseases in the recipients or their offspring, and genetic defects in offspring will be reported to the sperm donor if there is any possibility that the donor s reproductive tissue contributed to the 
 
adverse outcome.",6053,23099502,,,,,,
It is the policy of Strong Fertility Center to inform the sperm bank if a pregnancy results from the donation.,6331,23099502,,,,,,
"It is understood that the legal status of the donor is somewhat uncertain and that the laws may change, especially with respect to anonymity.",6443,23099502,,,,,,
I have had the opportunity and have been advised to seek legal counsel.,6586,23099502,,,,,,
"Financial Responsibility 
Financial responsibility for all services and medical care are the sole responsibility of the individuals receiving these treatments.",6659,23099502,,,,,,
"Prior to arranging the purchase of sperm, the laboratory staff should be contacted so that the shipping of the sample(s) is expected.",6820,23099502,,,,,,
Financial responsibility for the pregnancy and any pregnancy complications (whether of the female partner or the carrier) are the responsibility of the individual(s) under treatment.,6955,23099502,,,,,,
"Strong Fertility Center makes every effort to accurately predict the cost of services before they are rendered, but the costs may vary depending on unforeseen circumstances and of complications of the treatment.",7139,23099502,,,,,,
Strong Fertility Center reserves the right to change its charges and fees.,7352,23099502,,,,,,
Consults with other health professionals,7430,23099502,,,,,,
We require each person that plans to use donor sperm for artificial insemination or in vitro fertilization to have a visit with a psychological counselor.,7472,23099502,,,,,,
"Our staff will provide names of counselors who are familiar with ASRM guidelines regarding use of donor sperm, eggs or embryos, and have agreed to see persons considering Donor Insemination.",7627,23099502,,,,,,
We view this counseling as an opportunity to prepare you for the stresses of your treatment.,7818,23099502,,,,,,
Individuals who are identified by the counselor as needing further support may choose to have continued counseling.,7911,23099502,,,,,,
"In addition, the counselor will discuss issues specific to receiving donor sperm including what and when to tell a child about how they were conceived.",8028,23099502,,,,,,
These issues are worth thinking about before beginning treatment with donor sperm.,8181,23099502,,,,,,
We may ask some individuals anticipating the use of donor sperm to have genetic screening.,8265,23099502,,,,,,
The particular genetic screening may differ from woman to woman.,8356,23099502,,,,,,
"If you do need genetic screening, we will offer to refer you to a genetic counselor that will advise you of the risks and benefits of screening.",8421,23099502,,,,,,
Pregnancy itself can be a health risk.,8567,23099502,,,,,,
"If you are over the age of 45 or have any significant illness (such as asthma, diabetes, or multiple sclerosis), we will ask you to be cleared by your internist and/or a board-certified perinatologist before starting your treatment.",8606,23099502,,,,,,
All women over the age of 45 will require a cardiac evaluation.,8840,23099502,,,,,,
"If you have a history of any other significant illness, you will need a consultation with another relevant specialist before starting your treatment.",8906,23099502,,,,,,
Procedures,9057,23099502,,,,,,
The procedures for intrauterine insemination and in vitro fertilization are discussed in their respective informed consent forms.,9069,23099502,,,,,,
Additional consent forms may need to be understood and signed.,9199,23099502,,,,,,
Risks,9265,23099502,,,,,,
"The use of donor sperm carries with it the risk of sexually transmitted diseases including but not limited to gonorrhea, syphilis, herpes, hepatitis, and acquired immune deficiency syndrome (AIDS).",9276,23099502,,,,,,
The risk for infectious disease with the use of donor sperm is extremely small as the sperm donors are tested prior to giving the sperm specimens and again after the sperm has been frozen and quarantined for 6 months.,9475,23099502,,,,,,
This allows for retesting for HIV and other infectious diseases before releasing the samples for use.,9694,23099502,,,,,,
Failure to Achieve Pregnancy,9797,23099502,,,,,,
Your chance of achieving pregnancy with donor sperm is dependent upon whether you are undergoing unstimulated or stimulated insemination or in vitro fertilization and upon your age and infertility diagnosis.,9827,23099502,,,,,,
The most common reason for needing donor insemination is a couple with absence of functional sperm.,10036,23099502,,,,,,
In most cases there is no reason to believe that the women herself has a fertility problem.,10136,23099502,,,,,,
"Because of this, it may not be necessary for you to undergo complete fertility testing before starting your cycle of treatment.",10229,23099502,,,,,,
"For women under age 35, about 15 to 20% of women will become pregnant in each cycle of treatment.",10358,23099502,,,,,,
We anticipate that half will achieve pregnancy within four cycles of donor insemination.,10457,23099502,,,,,,
The chance of pregnancy in these cases may depend on the quality of the frozen sperm.,10546,23099502,,,,,,
"If you have undergone more than four cycles of insemination and have not yet conceived, you should make an appointment with your physician to discuss the possibility that you may have other conditions that are preventing a pregnancy.",10633,23099502,,,,,,
"For example, if you have not had a test to make sure your fallopian tubes are open, your physician may recommend such a test at that time.",10867,23099502,,,,,,
The chance of conception is dependent on the number of ovarian follicles that a woman produces.,11007,23099502,,,,,,
Medications can be used to increase the number of eggs that you produce (ovulate) in a cycle.,11104,23099502,,,,,,
More eggs will lead a greater chance of pregnancy.,11198,23099502,,,,,,
It can also increase the chances that you will have a multiple pregnancy.,11249,23099502,,,,,,
Pregnancy Risks,11325,23099502,,,,,,
"As with any pregnancy, a miscarriage, ectopic pregnancy, stillbirth, multiple births, congenital abnormalities (birth defects) and/or genetic abnormalities may occur.",11342,23099502,,,,,,
"Within the normal human populations a certain percentage (approximately 4%) of children are born with physical or mental defects, and that the occurrence of such defects is beyond the control of physicians.",11510,23099502,,,,,,
"Within the normal population, approximately 20% of pregnancies result in miscarriages in woman under age 35; this may occur after the use of donor sperm as well.",11720,23099502,,,,,,
"Similarly, obstetrical complications may occur in any pregnancy.",11882,23099502,,,,,,
Informed Consent for Using an Anonymous Donor ,11948,23099502,,,,,,
"s Sperm 
1.",11994,23099502,,,,,,
Informed Consent,12006,23099502,,,,,,
I/we have read the entire Informed Consent for Using an Anonymous Donor ,12025,23099502,,,,,,
s,12098,23099502,,,,,,
Sperm and have had the opportunity to ask any questions,12100,23099502,,,,,,
I/we might have about my participation.,12157,23099502,,,,,,
My/our consent to this procedure is purely voluntary.,12198,23099502,,,,,,
I/we may withdraw my consent at any time and my/our present or future care will not in any way be affected by this decision.,12252,23099502,,,,,,
2.,12379,23099502,,,,,,
Risks and Benefits,12382,23099502,,,,,,
"In addition to reading this document, I/we have been advised of the risks and benefits of undergoing the procedures required and the possible alternatives thereto, as well as the risks and benefits of becoming pregnant.",12406,23099502,,,,,,
I/we have been advised to undergo psychological counseling regarding the process.,12627,23099502,,,,,,
3.,12710,23099502,,,,,,
Confidentiality,12713,23099502,,,,,,
"Except as required by law, I/we have been assured that all information about me/us obtained during this treatment will be handled confidentially and neither my/our identity nor specific medical or psychological details will be revealed without my consent.",12730,23099502,,,,,,
"I/we have been told that my/our name and address will be kept on, and that this, or any other information which would directly or indirectly identify me",12987,23099502,,,,,,
"/us will not be disclosed or released to any person or entity without my/our written informed consent, except as permitted by law.",13139,23099502,,,,,,
Reproductive tissue bank records shall be open to inspection as specified by law.,13271,23099502,,,,,,
Statistics concerning my/our treatment (without names or personal information) will be included in information that the CLINIC provides to the Society for Assisted Reproductive Technology and the Centers for Disease Control and Prevention if my therapy includes Assisted Reproductive Technologies.,13353,23099502,,,,,,
Any other use of information about my/our treatments or me,13652,23099502,,,,,,
/us would require my/our specific consent.,13710,23099502,,,,,,
Specific medical details may be revealed in professional publications as long as my/our identity is concealed.,13753,23099502,,,,,,
4.,13866,23099502,,,,,,
Legal Concerns,13869,23099502,,,,,,
"I/we understand that the legal status of sperm donation is as yet uncertain and that there may be changes in the law, especially regarding anonymity, in the future.",13885,23099502,,,,,,
"I have been advised, and have had the opportunity to, consult my own legal counsel.",14050,23099502,,,,,,
I have also had the opportunity to consult with a physician and psychologist/counselor.,14135,23099502,,,,,,
Strong Fertility Center may inform the sperm bank if a pregnancy results from the donation.,14225,23099502,,,,,,
This is important from the standpoint of giving the sperm bank information to prevent them from using the same donor too many times.,14318,23099502,,,,,,
The anonymity of the donor and recipient is maintained of course.,14452,23099502,,,,,,
5.,14519,23099502,,,,,,
Risk of Injury,14522,23099502,,,,,,
"I/we have also been informed that should I/we suffer any physical injury as a result of my/our participation in this medical treatment, the necessary medical facilities are available.",14538,23099502,,,,,,
I/we cannot expect to receive any payment for hospital expenses or any financial compensation for such injury.,14723,23099502,,,,,,
6.,14835,23099502,,,,,,
Hold Harmless,14838,23099502,,,,,,
I/we understand and agree that Strong Fertility Center does not assume responsibility for the physical and mental characteristics of any child or children born as a result of using donor sperm.,14853,23099502,,,,,,
"I/we hereby agree to indemnify and hold harmless my/our physicians, care givers, and CLINIC any cost, claim, liability or expense arising out of the use of donor sperm, or out of any complications of conception, childbirth or delivery, or from the birth of a child abnormal in any respect, or from any adverse consequences which may arise in connection with or as a result of my participation in the use of donor sperm.",15048,23099502,,,,,,
Nothing contained herein shall be construed to relieve Strong Fertility Center from liability arising out of its professional malpractice during the course of my treatment.,15469,23099502,,,,,,
7.,15643,23099502,,,,,,
Voluntary Participation,15646,23099502,,,,,,
I/we have read the entire Donor Sperm consent and have had the opportunity to ask any and all questions that I might have about my participation.,15671,23099502,,,,,,
I/we agree to use donor sperm under the conditions outlined above.,15819,23099502,['A'],I/we agree to use donor sperm under the conditions outlined above.,,,['A'],I/we agree to use donor sperm under the conditions outlined above.
My/our consent to this procedure is purely voluntary.,15888,23099502,,,,,,
I/we may withdraw consent at any time and my/our present or future care will not in any way be affected by my/our decision.,15943,23099502,,,,,,
I/we acknowledge receipt of a copy of this form.,16067,23099502,,,,,,
8.,16117,23099502,,,,,,
Understanding,16120,23099502,,,,,,
"I/we confirm that I have read this form, fully understand its contents, and that all blank spaces above have been completed prior to signing.",16135,23099502,,,,,,
"In addition, I/we confirm that I/we have had the opportunity to ask any questions and that all of my questions have been answered to my/our satisfaction.",16278,23099502,,,,,,
I/we further agree that I/we am assuming entire responsibility for any child or children conceived or born.,16432,23099502,,,,,,
"I/we agree that I/we will not seek support for the child or children, or any other payment from the donor, physicians or nurses associated with Strong Fertility Center.",16542,23099502,,,,,,
I/we therefore authorize the appropriate staff at Strong Fertility Center to perform one or more artificial inseminations or in vitro fertilization cycles and embryo transfers with the sperm obtained from an anonymous donor(s) for the purpose of conceiving.,16712,23099502,['A'],I/we therefore authorize the appropriate staff at Strong Fertility Center to perform one or more artificial inseminations or in vitro fertilization cycles and embryo transfers with the sperm obtained from an anonymous donor(s) for the purpose of conceiving.,,,['A'],I/we therefore authorize the appropriate staff at Strong Fertility Center to perform one or more artificial inseminations or in vitro fertilization cycles and embryo transfers with the sperm obtained from an anonymous donor(s) for the purpose of conceiving.
My/our consent applies to any treatment cycle,16971,23099502,['C'],My/our consent applies to any treatment cycle I/we undergo within the next 12 months.,,,['C'],My/our consent applies to any treatment cycle I/we undergo within the next 12 months.
I/we undergo within the next 12 months.,17017,23099502,,,,,,
"If I/we wish to undergo additional cycles after more than 12 months from now, I/we will have another informed consent discussion and sign again.",17057,23099502,,,,,,
"If at any time during this period, I/we want another copy of this form it will be provided.",17202,23099502,,,,,,
I request and consent to use of anonymous donor sperm in hopes of achieving a pregnancy.,17313,23099502,['A'],I request and consent to use of anonymous donor sperm in hopes of achieving a pregnancy.,['A'],I request and consent to use of anonymous donor sperm in hopes of achieving a pregnancy.,['A'],I request and consent to use of anonymous donor sperm in hopes of achieving a pregnancy.
"X 
Patient Signature Date 
 
Patient Name",17405,23099502,,,,,,
"Date of Birth 
 
 
------------------------------------------------------------------------------------------------------------------------- 
X 
Spouse / Partner Signature Date 
 
Spouse / Partner Name Date of Birth",17480,23099502,,,,,,
"====================================================================================== 
 
 
Statement by Witness (must be employee of Clinic and at least 18 years of age)",17732,23099502,,,,,,
I declare that the person who signed this document is a patient known to Strong Fertility Center and appears to be of sound mind and acting of his or her own free will.,17906,23099502,,,,,,
